Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTILAYER,GM,44,Betweenness,0.049560998,0.014963491,0.03459751
MULTILAYER,GM,45,Betweenness,0.039550584,0.023828324,0.01572226
MULTILAYER,GM,46,Betweenness,0.033806488,0.022508916,0.011297572
MULTILAYER,GM,47,Betweenness,0.048964977,0.028722618,0.02024236
MULTILAYER,GM,48,Betweenness,0.030683493,0.014751654,0.01593184
MULTILAYER,GM,49,Betweenness,0.044082634,0.022219816,0.021862818
MULTILAYER,GM,50,Betweenness,0.024130952,0.011252334,0.012878617
MULTILAYER,GM,51,Betweenness,0.023564078,0.0065320944,0.017031983
MULTILAYER,GM,52,Betweenness,0.03043942,0.01833588,0.012103539
MULTILAYER,GM,53,Betweenness,0.017149402,0.008168195,0.008981206
MULTILAYER,GM,54,Betweenness,0.035985254,0.020986587,0.014998667
MULTILAYER,GM,55,Betweenness,0.037172727,0.015399475,0.021773253
MULTILAYER,GM,56,Betweenness,0.049508926,0.028338853,0.021170072
MULTILAYER,GM,57,Betweenness,0.022482403,0.017344201,0.0051382016
MULTILAYER,GM,58,Betweenness,0.013756507,0.013037019,0.00071948767
MULTILAYER,GM,59,Betweenness,0.021541087,0.018320173,0.003220914
MULTILAYER,GM,60,Betweenness,0.011085427,0.033063337,-0.021977909
MULTILAYER,GM,61,Betweenness,0.015994836,0.03717779,-0.021182954
MULTILAYER,GM,62,Betweenness,0.024513306,0.037531413,-0.013018107
MULTILAYER,GM,63,Betweenness,0.041303262,0.036261246,0.0050420165
MULTILAYER,GM,64,Betweenness,0.033761505,0.025371034,0.008390471
MULTILAYER,GM,65,Betweenness,0.031790163,0.01530608,0.016484084
MULTILAYER,GM,66,Betweenness,0.021520264,0.01603498,0.005485285
MULTILAYER,GM,67,Betweenness,0.027262691,0.008911105,0.018351587
MULTILAYER,GM,68,Betweenness,0.04020659,0.016431907,0.023774682
MULTILAYER,GM,69,Betweenness,0.022669833,0.016076159,0.0065936744
MULTILAYER,GM,70,Betweenness,0.022317465,0.009193411,0.013124054
MULTILAYER,GM,71,Betweenness,0.026353033,0.01155714,0.014795893
MULTILAYER,GM,72,Betweenness,0.0133025125,0.014301663,-0.0009991508
MULTILAYER,GM,73,Betweenness,0.038533885,0.033810496,0.0047233887
MULTILAYER,GM,74,Betweenness,0.06303303,0.060779836,0.0022531934
MULTILAYER,GM,75,Betweenness,0.018023241,0.008686109,0.009337132
MULTILAYER,rsfMRI,0,Betweenness,0.01655421,0.020049244,-0.0034950338
MULTILAYER,rsfMRI,1,Betweenness,0.017836645,0.026116064,-0.008279419
MULTILAYER,rsfMRI,2,Betweenness,0.014037653,0.013950586,8.706655e-05
MULTILAYER,rsfMRI,3,Betweenness,0.015730767,0.017564103,-0.0018333364
MULTILAYER,rsfMRI,4,Betweenness,0.016631681,0.015739514,0.0008921679
MULTILAYER,rsfMRI,5,Betweenness,0.020693073,0.013321446,0.007371627
