Node,Group,Layer,Metric,Value
116,Control,MULTILAYER,Degree_mean,148.9
116,Control,MULTINEXT,Degree_mean,148.9
116,EM,MULTILAYER,Degree_mean,149.04827586206898
116,EM,MULTINEXT,Degree_mean,149.04827586206898
117,Control,MULTILAYER,Degree_mean,149.8
117,Control,MULTINEXT,Degree_mean,149.8
117,EM,MULTILAYER,Degree_mean,148.98620689655172
117,EM,MULTINEXT,Degree_mean,148.98620689655172
118,Control,MULTILAYER,Degree_mean,147.8
118,Control,MULTINEXT,Degree_mean,147.8
118,EM,MULTILAYER,Degree_mean,147.02068965517242
118,EM,MULTINEXT,Degree_mean,147.02068965517242
119,Control,MULTILAYER,Degree_mean,140.4
119,Control,MULTINEXT,Degree_mean,140.4
119,EM,MULTILAYER,Degree_mean,140.0758620689655
119,EM,MULTINEXT,Degree_mean,140.0758620689655
120,Control,MULTILAYER,Degree_mean,140.8
120,Control,MULTINEXT,Degree_mean,140.8
120,EM,MULTILAYER,Degree_mean,140.0758620689655
120,EM,MULTINEXT,Degree_mean,140.0758620689655
121,Control,MULTILAYER,Degree_mean,135.9
121,Control,MULTINEXT,Degree_mean,135.9
121,EM,MULTILAYER,Degree_mean,135.06896551724137
121,EM,MULTINEXT,Degree_mean,135.06896551724137
122,Control,MULTILAYER,Degree_mean,142.0
122,Control,MULTINEXT,Degree_mean,142.0
122,EM,MULTILAYER,Degree_mean,141.06206896551726
122,EM,MULTINEXT,Degree_mean,141.06206896551726
123,Control,MULTILAYER,Degree_mean,143.8
123,Control,MULTINEXT,Degree_mean,143.8
123,EM,MULTILAYER,Degree_mean,143.0344827586207
123,EM,MULTINEXT,Degree_mean,143.0344827586207
124,Control,MULTILAYER,Degree_mean,121.2
124,Control,MULTINEXT,Degree_mean,121.2
124,EM,MULTILAYER,Degree_mean,121.21379310344828
124,EM,MULTINEXT,Degree_mean,121.21379310344828
125,Control,MULTILAYER,Degree_mean,137.9
125,Control,MULTINEXT,Degree_mean,137.9
125,EM,MULTILAYER,Degree_mean,137.08275862068965
125,EM,MULTINEXT,Degree_mean,137.08275862068965
126,Control,MULTILAYER,Degree_mean,148.9
126,Control,MULTINEXT,Degree_mean,148.9
126,EM,MULTILAYER,Degree_mean,148.02758620689656
126,EM,MULTINEXT,Degree_mean,148.02758620689656
