Node,Layer,Metric,Control,EM,Diff_EM_minus_Control
1,FA,Betweenness_std,0.0056075567973847,0.0140219792252656,0.0084144224278809
1,FA,Closeness_mean,0.8922735760971057,0.8885992737764656,-0.0036743023206400327
1,FA,Closeness_std,0.0024758640797848,0.0191247008456329,0.0166488367658481
1,FA,Degree_mean,65.94444444444444,65.55172413793103,-0.39272030651341083
1,FA,Degree_std,0.2357022603955182,2.143890008329741,1.908187747934223
1,FA,Eigenvector_mean,0.1149108436170368,0.1150452430635241,0.00013439944648729885
1,FA,Eigenvector_std,0.0091483269735246,0.0109105935378899,0.0017622665643653012
1,FA,Strength_mean,37.01102072231245,37.0139256053064,0.0029048829939455345
1,FA,Strength_std,5.200631949773534,6.625451812240812,1.4248198624672783
1,GM,Betweenness_mean,0.0065225225225225,0.0205405405405405,0.014018018018018
1,GM,Betweenness_std,0.0121996752136506,0.0442211948349565,0.032021519621305894
1,GM,Closeness_mean,0.9960526315789474,0.993570349967522,-0.0024822816114253854
1,GM,Closeness_std,0.0063558669939427,0.0119771810268235,0.0056213140328808
1,GM,Degree_mean,74.7,74.50344827586207,-0.1965517241379331
1,GM,Degree_std,0.4830458915396468,0.936335483644104,0.45328959210445724
1,GM,Eigenvector_mean,0.1149458965623289,0.1106779843075477,-0.004267912254781195
1,GM,Eigenvector_std,0.0359377082608677,0.0312455505809305,-0.004692157679937203
1,GM,Strength_mean,29.56105847999232,28.099103139324207,-1.461955340668112
1,GM,Strength_std,10.314116958945323,8.217632061133047,-2.0964848978122763
1,rsfMRI,Betweenness_mean,0.0173373373373373,0.0153264989127058,-0.002010838424631501
1,rsfMRI,Betweenness_std,0.0467586939366307,0.0369311515567956,-0.009827542379835102
1,rsfMRI,Closeness_mean,0.9956892522681996,0.9941597200827936,-0.0015295321854059685
1,rsfMRI,Closeness_std,0.0108263956630613,0.0203656397293928,0.009539244066331502
1,rsfMRI,Degree_mean,74.66666666666667,74.52413793103449,-0.14252873563218316
1,rsfMRI,Degree_std,0.8401680504168056,1.7363865681858548,0.8962185177690491
1,rsfMRI,Eigenvector_mean,0.1198279453675541,0.1176434096630624,-0.0021845357044917024
1,rsfMRI,Eigenvector_std,0.0117273414169591,0.0149725988411415,0.0032452574241824007
1,rsfMRI,Strength_mean,44.856691360573485,44.13982061922833,-0.7168707413451543
1,rsfMRI,Strength_std,7.913436841876972,7.681049234567524,-0.2323876073094473
2,FA,Betweenness_mean,0.0031831831831831,0.0063970177073625,0.0032138345241794
2,FA,Betweenness_std,0.0036982793668197,0.0161644447204051,0.0124661653535854
2,FA,Closeness_mean,0.925925925925926,0.9208569800325538,-0.005068945893372256
2,FA,Closeness_std,0.0,0.0168715678857517,0.0168715678857517
2,FA,Degree_mean,69.0,68.52413793103449,-0.47586206896551175
2,FA,Degree_std,0.0,1.6502641144706431,1.6502641144706431
2,FA,Eigenvector_mean,0.1170626662825859,0.1154669632069758,-0.0015957030756100915
2,FA,Eigenvector_std,0.0108486496385949,0.0097081686043879,-0.0011404810342069988
2,FA,Strength_mean,38.17277948515437,37.55952630618663,-0.6132531789677387
2,FA,Strength_std,4.744639415794105,5.421255990890387,0.6766165750962818
2,GM,Betweenness_mean,0.0647207207207207,0.036309412861137,-0.0284113078595837
2,GM,Betweenness_std,0.0692927986329953,0.0593747732508107,-0.0099180253821846
2,GM,Closeness_mean,0.9883919378423044,0.9941728204765696,0.005780882634265239
2,GM,Closeness_std,0.0163648038740282,0.0139521871855266,-0.0024126166885016006
2,GM,Degree_mean,74.1,74.54482758620689,0.4448275862068982
2,GM,Degree_std,1.2866839377079218,1.117905471709552,-0.16877846599836976
2,GM,Eigenvector_mean,0.0861783407081471,0.0889501445838244,0.002771803875677298
2,GM,Eigenvector_std,0.0235465199514138,0.0286970248307196,0.0051505048793057985
2,GM,Strength_mean,22.357474675096384,23.244253082335124,0.8867784072387401
2,GM,Strength_std,3.329886543565354,9.394963417033516,6.065076873468161
2,rsfMRI,Betweenness_mean,0.0136336336336336,0.0160273376825101,0.0023937040488765
2,rsfMRI,Betweenness_std,0.0282783290317452,0.0389080519705793,0.010629722938834095
2,rsfMRI,Closeness_mean,0.9956892522681996,0.9941041317351976,-0.0015851205330019713
